movie_title,rating,genre,in_theaters_date,movie_info,directors,director_gender,tomatometer_rating,audience_rating,critics_consensus
Godzilla: King of the Monsters,PG-13,"Action & Adventure, Science Fiction & Fantasy",5/31/19,"The new story follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species - thought to be mere myths - rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",Michael Dougherty,male,41,83,Godzilla: King of the Monsters delivers spectacular kaiju action -- and reaffirms that cutting-edge effects are still no substitute for a good story.
Gregory's Girl,PG,"Art House & International, Comedy, Drama, Romance",10/4/19,"In this charming and frequently hilarious comedy, an awkward Scottish schoolboy is hopelessly in love with the independent female goalie who replaced him on the school soccer team. Luckily, he has a 10-year-old sister to whom he can turn for advice on love!",Bill Forsyth,male,94,81,
Greta,R,Drama,3/1/19,"A sweet, naïve young woman trying to make it on her own in New York City, Frances (Chloë Grace Moretz) doesn't think twice about returning the handbag she finds on the subway to its rightful owner. That owner is Greta (Isabelle Huppert), an eccentric French piano teacher with a love for classical music and an aching loneliness. Having recently lost her mother, Frances quickly grows closer to widowed Greta. The two become fast friends - but Greta's maternal charms begin to dissolve and grow increasingly disturbing as Frances discovers that nothing in Greta's life is what it seems in this suspense thriller from Academy Award (R) winning director Neil Jordan.",Neil Jordan,male,60,41,"A bonkers B movie occasionally elevated by its A-list talent, Greta dives headlong into camp and struggles to stay afloat."
Gwen,NR,"Horror, Mystery & Suspense",8/16/19,"Gwen is a young girl desperately trying to hold her home together--struggling with her mother's mysterious illness, her father's absence and a ruthless mining company encroaching on their land. As a growing darkness begins to take grip of her home, the local community grows suspicious and turns on Gwen and her family.",William McGregor,male,71,83,"Gwen's relentlessly grim outlook may wear on some viewers, but it remains a reasonably gripping, solidly assembled descent into atmospheric period horror."
Hampstead,PG-13,"Comedy, Drama, Romance",6/14/19,"Though Emily (Diane Keaton) and Donald (Brendan Gleeson) live in the same idyllic London neighborhood of Hampstead, the worlds they inhabit could not be more different. She is an American widow occupying a posh apartment she can no longer afford and filling her time with charity work as she struggles to figure out a next step. He is a gruff Irish loner who lives off the land in a makeshift cabin and wants nothing more than to be left in peace. When his home is threatened by greedy real estate developers, Emily believes she has found her new cause--but gets more than she bargained for when unexpected romance blossoms. Based on an inspiring true story, Hampstead is a buoyant, sparklingly witty tale of two underdogs who took on the system and showed a nation that heart is where the home is.",Joel Hopkins,male,44,40,"Hampstead plays matchmaker with a pair of talented veterans, but the sum of their efforts isn't enough to overcome a deeply mediocre story."
Happy Death Day 2U,PG-13,Horror,2/13/19,"Jessica Rothe leads the returning cast of HAPPY DEATH DAY 2U, the follow-up to Blumhouse's (Split, Get Out, The Purge series) surprise 2017 smash hit of riveting, repeating twists and comic turns. This time, our hero Tree Gelbman (Rothe) discovers that dying over and over was surprisingly easier than the dangers that lie ahead. Jason Blum once again produces and Christopher Landon returns to write and direct this next chapter, while Happy Death Day executive producers Angela Mancuso and John Baldecchi are newly joined by EP Samson Mucke (Scouts Guide to the Zombie Apocalypse).",Christopher Landon,male,70,59,"A funnier follow-up with a sci-fi bent, Happy Death Day 2U isn't as fiendishly fresh as its predecessor, but fans of the original may still find this a sequel worth celebrating."
Head Count,NR,"Horror, Mystery & Suspense, Science Fiction & Fantasy",6/14/19,"Newcomer Evan joins a group of teens on a getaway in Joshua Tree. While exchanging ghost stories around the campfire, Evan reads aloud a mysterious chant from an internet site. From that moment, someone--or something--is among them. As unsettling, inexplicable events become more frequent, Evan realizes this summoned shape-shifting creature is targeting them to fulfill a deadly ritual.",Elle Callahan,female,63,46,
Hellboy,R,"Action & Adventure, Science Fiction & Fantasy",4/12/19,"Hellboy is back, and he's on fire. From the pages of Mike Mignola's seminal work, this action packed story sees the legendary half-demon superhero (David Harbour, ""Stranger Things"") called to the English countryside to battle a trio of rampaging giants. There he discovers The Blood Queen, Nimue (Milla Jovovich, Resident Evil series), a resurrected ancient sorceress thirsting to avenge a past betrayal. Suddenly caught in a clash between the supernatural and the human, Hellboy is now hell-bent on stopping Nimue without triggering the end of the world.",Neil Marshall,male,17,52,"Bereft of the imaginative flair that made earlier Hellboys so enjoyable, this soulless reboot suggests Dante may have left a tenth circle out of his Inferno."
High Life,R,"Action & Adventure, Art House & International, Science Fiction & Fantasy",4/5/19,"Monte (Robert Pattinson) and his baby daughter are the last survivors of a damned and dangerous mission to the outer reaches of the solar system.The crew death-row inmates led by a doctor (Juliette Binoche) with sinister motives has vanished. As the mystery of what happened onboard the ship is unraveled, father and daughter must rely on each other to survive as they hurtle toward the oblivion of a black hole. A staggering and primal film about love and intimacy, suffused with anguished memories of a lost Earth, High Life is a haunting, thrilling achievement from visionary director Claire Denis",Claire Denis,female,83,42,"High Life is as visually arresting as it is challenging, confounding, and ultimately rewarding - which is to say it's everything film fans expect from director Claire Denis."
Hotel Mumbai,R,Drama,3/29/19,"A gripping true story of humanity and heroism, HOTEL MUMBAI vividly recounts the 2008 siege of the famed Taj Hotel by a group of terrorists in Mumbai, India. Among the dedicated hotel staff is the renowned chef Hemant Oberoi (Anupam Kher) and a waiter (Academy Award-Nominee Dev Patel, Slumdog Millionaire) who choose to risk their lives to protect their guests. As the world watches on, a desperate couple (Armie Hammer, Call Me By Your Name and Nazanin Boniadi, ""Homeland"") is forced to make unthinkable sacrifices to protect their newborn child.",Anthony Maras,male,75,86,"Its depiction of real-life horror will strike some as exploitative, but Hotel Mumbai remains a well-made dramatization of tragic events."
How to Train Your Dragon: The Hidden World,PG,"Action & Adventure, Animation, Kids & Family",2/22/19,"Now chief and ruler of Berk alongside Astrid, Hiccup has created a gloriously chaotic dragon utopia. When the sudden appearance of female Light Fury coincides with the darkest threat their village has ever faced, Hiccup and Toothless must leave the only home they've known and journey to a hidden world thought only to exist in myth. As their true destines are revealed, dragon and rider will fight together-to the very ends of the Earth-to protect everything they've grown to treasure.",Dean DeBlois,male,91,87,"The rare trilogy capper that really works, How to Train Your Dragon: The Hidden World brings its saga to a visually dazzling and emotionally affecting conclusion."
Isn't It Romantic,PG-13,"Comedy, Romance",2/13/19,"New York City architect Natalie works hard to get noticed at her job but is more likely to be asked to deliver coffee and bagels than to design the city's next skyscraper. And if things weren't bad enough, Natalie, a lifelong cynic when it comes to love, has an encounter with a mugger that renders her unconscious, waking to discover that her life has suddenly become her worst nightmare -- a romantic comedy -- and she is the leading lady.",Todd Strauss-Schulson,male,70,48,"It follows as many genre conventions as it mocks, but Isn't It Romantic is a feel-good rom-com with some satirical bite -- and a star well-suited for both."
John Wick: Chapter 3 - Parabellum,R,"Action & Adventure, Drama",5/17/19,"In this third installment of the adrenaline-fueled action franchise, super-assassin John Wick (Reeves) returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin's guild, the High Table, John Wick is excommunicado, but the world's most ruthless hit men and women await his every turn.",Chad Stahelski,male,90,86,"John Wick: Chapter 3 - Parabellum reloads for another hard-hitting round of the brilliantly choreographed, over-the-top action that fans of the franchise demand."
King of Thieves,R,Drama,1/25/19,A true crime film about a crew of retired crooks who pull off a major heist in London's jewelry district. What starts off as their last criminal hurrah quickly turns into a brutal nightmare due to greed. Based on infamous true events.,James Marsh,male,35,31,"King of Thieves unites an incredible cast for a heist movie brimming with potential -- most of which, sadly, evaporates long before the end credits have started to roll."
Knock Down the House,PG,Documentary,5/1/19,"When tragedy struck her family in the midst of the financial crisis, Bronx-born Alexandria Ocasio-Cortez had to work double shifts in a restaurant to save her home from foreclosure. After losing a loved one to a preventable medical condition, Amy Vilela didn't know what to do with the anger she felt about America's broken health care system. Cori Bush was drawn into the streets when the police shooting of an unarmed black man brought protests and tanks into her neighborhood. Paula Jean Swearengin was fed up with watching her friends and family suffer and die from the environmental effects of the coal industry. At a moment of historic volatility in American politics, these four women decide to fight back, setting themselves on a journey that will change their lives and their country forever. Without political experience or corporate money, they build a movement of insurgent candidates challenging powerful incumbents in Congress. Their efforts result in a legendary upset.",Rachel Lears,female,100,17,"A galvanizing glimpse behind the scenes of a pivotal election, Knock Down the House should prove engrossing for viewers of all political persuasions."
Light of My life,R,Drama,8/9/19,"A girl (Anna Pniowsky) and her father (Casey Affleck) journey through the outskirts of society a decade after a pandemic has wiped out nearly all the world's female population. As a father struggles to protect his daughter's innocence, shielding her from newfound dangers, their bond and the character of humanity is tested.",Casey Affleck,male,78,72,"Its deliberate pace may test the patience, but viewers attuned to Light of My Life's sober wavelength will be rewarded with a thought-provoking chiller."
Little,PG-13,Comedy,4/12/19,"Marsai Martin (TV's Black-ish) stars in and executive produces Universal Pictures' LITTLE, a comedy from producer Will Packer (Girls Trip, Ride Along and Think Like a Man series) based on an idea the young actress pitched. Directed by Tina Gordon (Peeples), the film tells the story of a woman who-when the pressures of adulthood become too much to bear-gets the chance to relive the carefree life of her younger self.",Tina Gordon Chism,female,47,63,"A disappointingly uneven but overall agreeable spin on a familiar formula, Little benefits from a big heart -- and a story that makes good use of its talented, well-matched cast."
Little Woods,R,Drama,4/26/19,"Little Woods, North Dakota, a fracking boomtown well beyond its prime. Ollie is trying to survive the last few days of her probation after getting caught illegally running prescription pills over the Canadian border. But when her mother dies, she is thrust back into the life of her estranged sister Deb (James), who is facing her own crisis with an unplanned pregnancy and a deadbeat ex. The two find they have one week to settle the mortgage on their mother's house or face foreclosure. As bills and pressure mount, Ollie faces a choice: whether to return to a way of life she thought she'd left behind for just one more score or to leave it all behind. A taut and affecting thriller about sisters pushed to extremes from award-winning director Nia DaCosta.",Nia DaCosta,female,96,51,"Led by standout work from Tessa Thompson, Little Woods tells a grimly absorbing tale that marks a commendable debut for writer-director Nia DaCosta."
Long Shot,R,Comedy,5/3/19,"Fred Flarsky (Seth Rogen) is a gifted and free-spirited journalist with an affinity for trouble. Charlotte Field (Charlize Theron) is one of the most influential women in the world. Smart, sophisticated, and accomplished, she's a powerhouse diplomat with a talent for... well, mostly everything. The two have nothing in common, except that she was his babysitter and childhood crush. When Fred unexpectedly reconnects with Charlotte, he charms her with his self-deprecating humor and his memories of her youthful idealism. As she prepares to make a run for the Presidency, Charlotte impulsively hires Fred as her speechwriter, much to the dismay of her trusted advisors. A fish out of water on Charlotte's elite team, Fred is unprepared for her glamorous lifestyle in the limelight. However, sparks fly as their unmistakable chemistry leads to a round-the-world romance and a series of unexpected and dangerous incidents.",Jonathan Levine,male,81,75,"A sharp and deceptively layered comedy that's further fueled by the odd couple chemistry of its leads, this Long Shot largely hits its marks."
Lords of Chaos,R,"Drama, Mystery & Suspense",2/8/19,"A teenager's quest to launch Norwegian Black Metal in Oslo in the 1980s results in a very violent outcome. Lords of Chaos tells the true story of True Norwegian Black Metal and its most notorious practitioners - a group of young men with a flair for publicity, church-burning and murder: MAYHEM.",Jonas Åkerlund,male,74,60,Lords of Chaos presents a grimly compelling dramatization of a real-life music scene whose aggressively nihilistic aesthetic spilled over into fatal acts of violence.
Luce,R,"Drama, Mystery & Suspense",8/2/19,"It's been ten years since Amy and Peter Edgar (Naomi Watts and Tim Roth) adopted their son from war-torn Eritrea, and they thought the worst was behind them. Luce Edgar (Kelvin Harrison Jr.) has become an all-star student beloved by his community in Arlington, Virginia. His African American teacher, Harriet Wilson (Octavia Spencer), believes he is a symbol of black excellence that sets a positive example for his peers. But when he is assigned to write an essay in the voice of a historical twentieth-century figure, Luce turns in a paper that makes an alarming statement about political violence. Worried about how this assignment reflects upon her star pupil, Harriet searches his locker and finds something that confirms her worst fears.",Julius Onah,male,92,78,Luce brings a stellar ensemble to bear on a satisfyingly complex story that addresses its timely themes in thought-provoking fashion.
Ma,R,"Horror, Mystery & Suspense",5/31/19,"Oscar (R) winner Octavia Spencer stars as Sue Ann, a loner who keeps to herself in her quiet Ohio town. One day, she is asked by Maggie, a new teenager in town (Diana Silvers, Glass), to buy some booze for her and her friends, and Sue Ann sees the chance to make some unsuspecting, if younger, friends of her own. She offers the kids the chance to avoid drinking and driving by hanging out in the basement of her home. But there are some house rules: One of the kids has to stay sober. Don't curse. Never go upstairs. And call her ""Ma."" But as Ma's hospitality starts to curdle into obsession, what began as a teenage dream turns into a terrorizing nightmare, and Ma's place goes from the best place in town to the worst place on earth.",Tate Taylor,male,54,64,"Octavia Spencer's performance overpowers many of Ma's flaws, but uneven pacing and a labored story keep this thriller from fully realizing its unhinged potential."
Maiden,PG,Documentary,6/28/19,"Maiden is the story of how Tracy Edwards, a 24-year-old cook in charter boats, became the skipper of the first ever all-female crew to enter the Whitbread Round the World in 1989. Tracy's inspirational dream was opposed on all sides: her male competitors thought an all-women crew would never make it, the chauvinistic yachting press took bets on her failure, and potential sponsors rejected her, fearing they would die at sea and generate bad publicity. But Tracy refused to give up: she remortgaged her home and bought a secondhand boat, putting everything on the line to ensure the team made it to the start line. Although blessed with tremendous self-belief Tracy was also beset by crippling doubts and was only able to make it through with the support of her remarkable crew. With their help she went on to shock the sport world and prove that women are very much the equal of men.",Alex Holmes,male,98,97,"Enthralling viewing even for audiences with little to no knowledge of or interest in sailing, Maiden pays powerful tribute to a true pioneer."
Mary Magdalene,R,Drama,4/12/19,"Set in the Holy Land in the first century C.E., a young woman leaves her small fishing village and traditional family behind to join a radical new social movement. At its head is a charismatic leader, Jesus of Nazareth, who promises that the world is changing. Mary is searching for a new way of living, and an authenticity that is denied her by the rigid hierarchies of the day. As the notoriety of the group spread and more are drawn to follow Jesus' inspirational message, Mary's spiritual journey places her at the heart of a story that will lead to the capital city of Jerusalem, where she must confront the reality of Jesus' destiny and her own place within it.",Garth Davis,male,45,50,"Mary Magdalene has obvious reverence for its subject; unfortunately, it lacks enough momentum or depth of character to make her story interesting."
Mega Time Squad,NR,"Action & Adventure, Comedy, Science Fiction & Fantasy",2/15/19,"A low-level criminal steals an ancient Chinese time-travel device, but he may not survive the demonic consequences of tampering with time. MEGA TIME SQUAD is a wildly entertaining time travel/sci-fi comedy out of New Zealand. A fan favorite on the festival circuit, the film stars Jonny Brugh (What We Do In The Shadows) and was praised by Variety as ""fast-paced, determinedly silly, with sharp slangy dialogue,""the film blasted out of the gate at this year's Fantasia and is destined to become a cult favorite.",Tim van Dammen,male,76,58,
Men in Black International,PG-13,"Action & Adventure, Comedy, Science Fiction & Fantasy",6/14/19,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest, most global threat to date: a mole in the Men in Black organization.",F. Gary Gray,male,23,66,"Amiable yet forgettable, MiB International grinds its stars' substantial chemistry through the gears of a franchise running low on reasons to continue."
Midsommar,R,Horror,7/3/19,"Dani and Christian are a young American couple with a relationship on the brink of falling apart. But after a family tragedy keeps them together, a grieving Dani invites herself to join Christian and his friends on a trip to a once-in-a-lifetime midsummer festival in a remote Swedish village. What begins as a carefree summer holiday in a land of eternal sunlight takes a sinister turn when the insular villagers invite their guests to partake in festivities that render the pastoral paradise increasingly unnerving and viscerally disturbing. From the visionary mind of Ari Aster comes a dread-soaked cinematic fairytale where a world of darkness unfolds in broad daylight.",Ari Aster,male,83,63,"Ambitious, impressively crafted, and above all unsettling, Midsommar further proves writer-director Ari Aster is a horror auteur to be reckoned with."
Miss Bala,PG-13,"Action & Adventure, Drama, Mystery & Suspense",2/1/19,"Gloria (Gina Rodriguez) finds a power she never knew she had when she is drawn into a dangerous world of cross-border crime. Surviving will require all of her cunning, inventiveness, and strength.",Catherine Hardwicke,female,22,55,"Miss Bala suggests Gina Rodriguez has a future as an action hero; unfortunately, it also demonstrates how hard it is to balance set pieces against a compelling story."
Missing Link,PG,"Action & Adventure, Animation, Comedy",4/12/19,"This April, meet Mr. Link (Galifianakis): 8 feet tall, 630 lbs, and covered in fur, but don't let his appearance fool you... he is funny, sweet, and adorably literal, making him the world's most lovable legend at the heart of Missing Link, the globe-trotting family adventure from LAIKA. Tired of living a solitary life in the Pacific Northwest, Mr. Link recruits fearless explorer Sir Lionel Frost (Jackman) to guide him on a journey to find his long-lost relatives in the fabled valley of Shangri-La. Along with adventurer Adelina Fortnight (Saldana), our fearless trio of explorers encounter more than their fair share of peril as they travel to the far reaches of the world to help their new friend. Through it all, the three learn that sometimes you can find a family in the places you least expect.",Chris Butler,male,89,67,"Another beautifully animated triumph for Laika, Missing Link is a visual treat with lots of humor, plenty of heart, and even a little food for thought."
Nancy Drew and the Hidden Staircase,PG,"Drama, Kids & Family, Mystery & Suspense",3/15/19,"After the death of his wife, Carson Drew decides to leave Chicago behind and make a fresh start with his daughter in River Heights. But for 16-year-old Nancy Drew, life in a small town is mighty dull. She longs for excitement, adventure, and the chance to make a difference. Nancy gets that opportunity when she is asked to help solve the ghostly activity at the Twin Elms mansion. Can she help explain the creaking footsteps, exploding lightbulbs and the ominous creature? Is it the handiwork of high-school bully Derek Barnes? Or is it possible that the ghost of original owner Malcolm Colfax is back for revenge? Recruiting her best friends George and Bess, along with local ""mean girl"" Helen, Nancy Drew is on the case!",Katt Shea,female,67,63,
Nightmare Cinema,R,Horror,6/21/19,"In this twisted horror anthology, five strangers are drawn to an abandoned theater and forced to watch their deepest and darkest fears play out before them. Lurking in the shadows is the Projectionist, who preys upon their souls with his collection of disturbing films. As each reel spins its sinister tale, the characters find frightening parallels to their own lives.","Alejandro Brugués, Joe Dante, Ryuhei Kitamura, David Slade, Mick Garris",male,77,51,"Admirably eclectic yet more consistent than most horror anthologies, Nightmare Cinema should entertain viewers in the mood for a good old-fashioned creepshow."
On the Basis of Sex,PG-13,Drama,1/11/19,The film tells an inspiring and spirited true story that follows young lawyer Ruth Bader Ginsburg as she teams with her husband Marty to bring a groundbreaking case before the U.S. Court of Appeals and overturn a century of gender discrimination. The feature will premiere in 2018 in line with Justice Ginsburg's 25th anniversary on the Supreme Court.,Mimi Leder,female,74,75,"On the Basis of Sex is nowhere near as groundbreaking as its real-life subject, but her extraordinary life makes a solid case for itself as an inspirational, well-acted biopic."
Otherhood,R,"Comedy, Drama",8/2/19,"For empty nesters, what's the difference between letting your children grow up and letting them grow distant? This year, on Mother's Day, feeling marginalized and forgotten, long time friends Carol (Angela Bassett), Gillian (Patricia Arquette) and Helen (Felicity Huffman) decide to drive to New York to reconnect with their adult sons, and in the process, they realize their sons are not the only ones whose lives need to change. A journey to relate becomes a journey of rediscovery that forces these women to redefine their relationships with their children, friends, spouses and most importantly, themselves. Written and directed by Cindy Chupack (Sex and the City), OTHERHOOD is a soulful, hilarious and honest exploration of life after motherhood.",Cindy Chupack,female,26,58,
Pavarotti,PG-13,"Documentary, Musical & Performing Arts",6/7/19,"From the filmmaking team behind the highly-acclaimed documentary The Beatles: Eight Days A Week - The Touring Years, PAVAROTTI is a riveting film that lifts the curtain on the icon who brought opera to the people. Academy Award (R) winner Ron Howard puts audiences front row center for an exploration of The Voice...The Man...The Legend. Luciano Pavarotti gave his life to the music and a voice to the world. This cinematic event features history-making performances and intimate interviews, including never-before-seen footage and cutting-edge Dolby Atmos technology.",Ron Howard,male,86,98,Pavarotti pays entertaining tribute to a towering cultural figure with a documentary whose evident affection for its subject proves contagious.
Pet Sematary,R,Horror,4/5/19,"Based on the seminal horror novel by Stephen King, Pet Sematary follows Dr. Louis Creed (Jason Clarke), who, after relocating with his wife Rachel (Amy Seimetz) and their two young children from Boston to rural Maine, discovers a mysterious burial ground hidden deep in the woods near the family's new home. When tragedy strikes, Louis turns to his unusual neighbor, Jud Crandall (John Lithgow), setting off a perilous chain reaction that unleashes an unfathomable evil with horrific consequences.","Kevin Kölsch, Dennis Widmyer",male,57,34,"Pet Sematary takes its source material in a few different directions, but this remake feels like an exhuming almost as often as it does a revival."
Piercing,R),Mystery & Suspense,2/1/19,"Reed (Christopher Abbott) is going on a business trip. He kisses his wife and infant son goodbye, but in lieu of a suitcase filled with clothes, he's packed a toothbrush and a murder kit. Everything is meticulously planned: check into a hotel and kill an unsuspecting victim. Only then will he rid himself of his devious impulses and continue to be a good husband and father. But Reed gets more than he bargained for with Jackie (Mia Wasikowska), an alluring call girl who arrives at his room. First, they relax and get in the mood, but when there's an unexpected disruption, the balance of control begins to sway back and forth between the two. Is he seeing things? Who's playing whom? Before the night is over, a feverish nightmare will unfold, and Reed and Jackie will seal their bond in blood.",Nicolas Pesce,male,72,46,"Stylish with a sadistic streak, Piercing pairs gripping lead performances with a smartly macabre story that delivers unpredictable thrills."
Pledge,NR,"Horror, Mystery & Suspense",1/11/19,"Three friends get the chance to live the college dream when they're invited to join an elite fraternity-but first they'll have to survive the hazing from hell. Freshman social misfits Ethan (Phillip Andre Botello), David (Zack Weiner), and Justin (Zachery Byrd) are desperate to improve their terminally uncool reputations by pledging one of their university's prestigious Greek houses. When every frat on campus turns them down, they are unexpectedly recruited by a shadowy social club offering them access to an exclusive world of raging parties, eligible coeds, and VIP social status. The catch? A sadistic initiation ritual that goes from depraved to deadly over the course of 48 booze- and blood-soaked hours. Spiked with twisted humor and gruesome shocks, Pledge asks: how far would you go to be popular?",Daniel Robbins,male,76,73,"Pledge leaves a certain amount of potential untapped in its extreme take on collegiate hazing, but the end result is still well-executed enough to be worth a watch."
Plus One,NR,"Comedy, Romance",6/14/19,"Single college friends Ben and Alice band together to survive a summer full of weddings in which everyone around them seems to be coupling off, including Ben's dad. Each serves as the other's date to help them navigate speeches, photo booths and prospective hookups until they realize they have great chemistry with each other.","Jeff Chan, Andrew Rhymer",male,90,81,Plus One reinvigorates the rom-com with an entertaining outing elevated by well-matched leads and a story that embraces and transcends genre clichés.
Pokémon Detective Pikachu,PG,"Action & Adventure, Animation, Kids & Family",5/10/19,"The story begins when ace detective Harry Goodman goes mysteriously missing, prompting his 21-year-old son Tim to find out what happened. Aiding in the investigation is Harry's former Pokémon partner, Detective Pikachu: a hilariously wise-cracking, adorable super-sleuth who is a puzzlement even to himself. Finding that they are uniquely equipped to communicate with one another, Tim and Pikachu join forces on a thrilling adventure to unravel the tangled mystery. Chasing clues together through the neon-lit streets of Ryme City - a sprawling, modern metropolis where humans and Pokémon live side by side in a hyper-realistic live-action world - they encounter a diverse cast of Pokémon characters and uncover a shocking plot that could destroy this peaceful co-existence and threaten the whole Pokémon universe.",Rob Letterman,male,68,80,"Pokémon Detective Pikachu may not take its wonderfully bizarre premise as far as it could have, but this offbeat adaptation should catch most -- if not all -- of the franchise's fans."
Poms,PG-13,Comedy,5/10/19,"POMS is an uplifting comedy about Martha (played by Diane Keaton), a woman who moves into a retirement community and starts a cheerleading squad with her fellow residents, Sheryl (Jacki Weaver), Olive (Pam Grier) and Alice (Rhea Perlman), proving that it's never too late to follow your dreams.",Zara Hayes,female,34,75,"While the cast is something to cheer about, Poms squanders its talented stars on a clichéd comedy that disrespects the demographic it's trying to celebrate."
Red Joan,R,"Drama, Mystery & Suspense",4/19/19,"In a picturesque village in England, Joan Stanley (Academy Award (R) winner Dame Judi Dench), lives in contented retirement. Then suddenly her tranquil existence is shattered as she's shockingly arrested by MI5. For Joan has been hiding an incredible past; she is one of the most influential spies in living history... Cambridge University in the 1930s, and the young Joan (Sophie Cookson), a demure physics student, falls intensely in love with a seductively attractive Russian saboteur, Leo. Through him, she begins to see that the world is on a knife-edge and perhaps must be saved from itself in the race to military supremacy. Post-war and now working at a top secret nuclear research facility, Joan is confronted with the impossible: Would you betray your country and your loved ones, if it meant saving them? What price would you pay for peace? Inspired by an extraordinary true story, Red Joan is the taut and emotional discovery of one woman's sacrifice in the face of incredible circumstances. A woman to whom we perhaps all owe our freedom.",Trevor Nunn,male,30,60,"A fascinating real-life story dramatized in perplexingly dull fashion, Red Joan wastes its tale's incredible intrigue -- as well as the formidable talents of Judi Dench."
Replicas,PG-13,"Mystery & Suspense, Science Fiction & Fantasy",1/11/19,"After a car accident kills his family, a daring synthetic biologist (Reeves) will stop at nothing to bring them back, even if it means pitting himself against a government-controlled laboratory, a police task force, and the physical laws of science.",Jeffrey Nachmanoff,male,9,34,"Equal parts plot holes and unintentional laughs, Replicas is a ponderously lame sci-fi outing that isn't even bad enough to be so bad it's good."
Rocketman,R,Drama,5/31/19,"ROCKETMAN is an epic musical fantasy about the incredible human story of Elton John's breakthrough years. The film follows the fantastical journey of transformation from shy piano prodigy Reginald Dwight into international superstar Elton John. This inspirational story -- set to Elton John's most beloved songs and performed by star Taron Egerton -- tells the universally relatable story of how a small-town boy became one of the most iconic figures in pop culture. ROCKETMAN also stars Jamie Bell as Elton's longtime lyricist and writing partner Bernie Taupin, Richard Madden as Elton's first manager, John Reid, and Bryce Dallas Howard as Elton's mother Sheila Farebrother.",Dexter Fletcher,male,89,88,"It's going to be a long, long time before a rock biopic manages to capture the highs and lows of an artist's life like Rocketman."
Run the Race,PG,"Drama, Sports & Fitness",2/22/19,"In RUN THE RACE, two desperate brothers sacrifice today for a better tomorrow. Reeling from his mother's death and his father's abandonment, Zach, an All-State athlete, finds glory on the football field, working to earn a college scholarship and the brothers' ticket out of town. When a devastating injury puts Zach-and his dreams-on the sidelines, David laces up his track cleats to salvage their future and point Zach toward hope.",Chris Dowling,male,40,84,
Rust Creek,R,"Drama, Mystery & Suspense",1/4/19,"An ordinary woman must summon extraordinary courage to survive a nightmare odyssey in this harrowing survival thriller. Sawyer (Hermione Corfield) is an ambitious, overachieving college senior with a seemingly bright future. While on her way to a job interview, a wrong turn leaves her stranded deep in the frozen Kentucky woods. Suddenly, the young woman with everything to live for finds herself facing her own mortality as she's punished by the elements and pursued by a band of ruthless outlaws. With nowhere left to run, she is forced into an uneasy alliance with Lowell (Jay Paulson), an enigmatic loner with shadowy intentions. Though she's not sure she can trust him, Sawyer must take a chance if she hopes to escape Rust Creek alive.",Jen McGowan,female,84,66,Rust Creek subverts expectations with a surprisingly layered survival drama anchored in a rich setting and a gripping lead performance from Hermione Corfield.
Serenity,R,"Drama, Mystery & Suspense",1/25/19,"From the creative mind of Oscar nominee Steven Knight comes a daringly original, sexy, stylized thriller. Baker Dill (Academy Award winner Matthew McConaughey) is a fishing boat captain leading tours off a tranquil, tropical enclave called Plymouth Island. His quiet life is shattered, however, when his ex-wife Karen (Academy Award winner Anne Hathaway) tracks him down with a desperate plea for help. She begs Dill to save her -- and their young son -- from her new, violent husband (Jason Clarke) by taking him out to sea on a fishing excursion, only to throw him to the sharks and leave him for dead. Karen's appearance thrusts Dill back into a life he'd tried to forget, and as he struggles between right and wrong, his world is plunged into a new reality that may not be all that it seems.",Steven Knight,male,20,30,"A high-concept mystery with a twist, Serenity isn't what it appears to be at first -- unfortunately, it's also not anywhere near as clever or entertaining as it thinks."
Shadow,NR,"Action & Adventure, Art House & International, Drama",5/3/19,"With SHADOW, director Zhang Yimou (HERO, HOUSE OF FLYING DAGGERS) once again pushes the boundaries of wuxia action to create a film like no other, masterfully painting a canvas of inky blacks and greys punctuated with bursts of color from the blood of the defeated. In a kingdom ruled by a young and unpredictable king, the military commander has a secret weapon: a ""shadow"", a look-alike who can fool both his enemies and the King himself. Now he must use this weapon in an intricate plan that will lead his people to victory in a war that the King does not want.",Zhang Yimou,male,95,82,"Beautifully filmed and inventively choreographed, Shadow is a thrilling and visually sumptuous wuxia epic that finds director Zhang Yimou near peak form."
Shaft,R,"Action & Adventure, Comedy",6/14/19,"""Shaft"" is the next chapter in the film franchise featuring the coolest private eye on any New York City block. JJ, aka John Shaft Jr. (Usher), may be a cyber security expert with a degree from MIT, but to uncover the truth behind his best friend's untimely death, he needs an education only his dad can provide. Absent throughout JJ's youth, the legendary locked-and-loaded John Shaft (Jackson) agrees to help his progeny navigate Harlem's heroin-infested underbelly. And while JJ's own FBI analyst's badge may clash with his dad's trademark leather coat, there's no denying family. Besides, Shaft's got an agenda of his own, and a score to settle that's professional and personal.",Tim Story,male,32,94,"Decades removed from the original, this multi-generational Shaft struggles to keep its characters interesting -- or anything other than uncomfortably outdated."
